SD_start,SD_end,Activation_start,Activation_end,Count
-20,-19,-4.1252,-3.9190,0
-19,-18,-3.9190,-3.7127,0
-18,-17,-3.7127,-3.5064,0
-17,-16,-3.5064,-3.3002,0
-16,-15,-3.3002,-3.0939,4
-15,-14,-3.0939,-2.8877,29
-14,-13,-2.8877,-2.6814,165
-13,-12,-2.6814,-2.4751,820
-12,-11,-2.4751,-2.2689,4474
-11,-10,-2.2689,-2.0626,16810
-10,-9,-2.0626,-1.8564,38258
-9,-8,-1.8564,-1.6501,59329
-8,-7,-1.6501,-1.4438,71605
-7,-6,-1.4438,-1.2376,69548
-6,-5,-1.2376,-1.0313,66468
-5,-4,-1.0313,-0.8251,66565
-4,-3,-0.8251,-0.6188,153437
-3,-2,-0.6188,-0.4125,1109623
-2,-1,-0.4125,-0.2063,9057032
-1,0,-0.2063,-0.0000,38704123
0,1,-0.0000,0.2062,39329374
1,2,0.2062,0.4125,9648239
2,3,0.4125,0.6188,1265064
3,4,0.6188,0.8250,177426
4,5,0.8250,1.0313,44500
5,6,1.0313,1.2375,31499
6,7,1.2375,1.4438,28778
7,8,1.4438,1.6501,23232
8,9,1.6501,1.8563,16612
9,10,1.8563,2.0626,9963
10,11,2.0626,2.2688,4857
11,12,2.2688,2.4751,1715
12,13,2.4751,2.6813,398
13,14,2.6813,2.8876,47
14,15,2.8876,3.0939,6
15,16,3.0939,3.3001,0
16,17,3.3001,3.5064,0
17,18,3.5064,3.7126,0
18,19,3.7126,3.9189,0
