layer,0-25_min,0-25_max,0-25_mean,0-25_std,25-50_min,25-50_max,25-50_mean,25-50_std,50-75_min,50-75_max,50-75_mean,50-75_std,75-90_min,75-90_max,75-90_mean,75-90_std,90-95_min,90-95_max,90-95_mean,90-95_std,95-99_min,95-99_max,95-99_mean,95-99_std,99-99.9_min,99-99.9_max,99-99.9_mean,99-99.9_std,99.9-99.99_min,99.9-99.99_max,99.9-99.99_mean,99.9-99.99_std,99.99-99.999_min,99.99-99.999_max,99.99-99.999_mean,99.99-99.999_std,99.999-99.9999_min,99.999-99.9999_max,99.999-99.9999_mean,99.999-99.9999_std,99.9999-99.99999_min,99.9999-99.99999_max,99.9999-99.99999_mean,99.9999-99.99999_std,99.99999-100_min,99.99999-100_max,99.99999-100_mean,99.99999-100_std
blocks.0.hook_mlp_out,-3.0911095,-0.029944427,-0.083520055,0.07266295,-0.029944425,-0.0013975543,-0.01454966,0.008082071,-0.0013975538,0.02753807,0.011828151,0.008174356,0.027538072,0.073239915,0.04520625,0.012649225,0.07323992,0.1213865,0.09394396,0.013738894,0.121386506,0.24847585,0.1661849,0.033579834,0.24847588,0.43962908,0.3198196,0.052608125,0.43962923,0.7349982,0.51161253,0.07182733,0.73499984,1.2652977,0.8996044,0.13165356,1.2652979,1.8272955,1.4562843,0.14536916,1.8273544,2.299372,1.9903028,0.12863418,2.3016002,2.8160555,2.4468145,0.11401434
blocks.1.hook_mlp_out,-1.5241613,-0.0604857,-0.13321684,0.085396364,-0.060485695,0.00040988624,-0.028148966,0.017373413,0.0004098881,0.06158434,0.029122658,0.017452214,0.061584342,0.12655385,0.08995183,0.018404383,0.12655386,0.17184225,0.14672293,0.012916443,0.17184226,0.280179,0.21091741,0.028965903,0.28017902,0.5219505,0.35236213,0.06324049,0.52195054,0.7795403,0.60051984,0.06338257,0.7795428,0.8824084,0.8262967,0.028139023,0.8824086,0.96660596,0.9014776,0.017239578,0.96668816,1.1663623,1.0361179,0.0548152,1.1664386,1.8119986,1.2424691,0.093391955
blocks.10.hook_mlp_out,-3.488875,-0.10581303,-0.23482543,0.1886168,-0.10581302,0.0022825599,-0.049254287,0.030835347,0.0022825636,0.111200206,0.054176062,0.031109475,0.11120021,0.21921131,0.15876065,0.03060772,0.21921133,0.29264987,0.2520101,0.020949818,0.2926499,0.46642888,0.3555254,0.046519756,0.4664289,1.1404366,0.58734614,0.13131946,1.1404369,1.9865915,1.4863319,0.22825097,1.9865935,2.3731976,2.1282861,0.10211247,2.3732047,2.627255,2.4605649,0.06583761,2.6272845,2.833826,2.6934109,0.052003045,2.8338785,3.1559057,2.904595,0.06050408
blocks.11.hook_mlp_out,-1.1034607,-0.08560932,-0.16751543,0.06998221,-0.08560931,-1.360476e-05,-0.040720057,0.024426013,-1.36028975e-05,0.0822268,0.039511558,0.0234302,0.082226805,0.16289316,0.117780924,0.022875482,0.16289318,0.21621022,0.1868552,0.015214134,0.21621023,0.33381736,0.2601694,0.031928793,0.3338174,0.8537101,0.42629564,0.12996,0.8537102,1.0074806,0.9125868,0.039827805,1.0074813,1.1354796,1.0480589,0.032368187,1.1354809,1.2539989,1.176524,0.031152897,1.2540761,1.3365197,1.2828109,0.02144968,1.3367275,1.4516981,1.3646109,0.026106518
blocks.2.hook_mlp_out,-1.7197213,-0.048835754,-0.10393991,0.06702874,-0.04883575,0.0007548593,-0.022784559,0.0141520845,0.00075486023,0.050390854,0.024331603,0.014177575,0.05039086,0.09928405,0.072017744,0.013866794,0.09928406,0.1322231,0.113970384,0.009388733,0.13222311,0.21465024,0.16140391,0.021980831,0.21465026,0.32243243,0.2534843,0.028641477,0.32243252,0.40636146,0.35007945,0.021565625,0.40636152,0.49449202,0.4329488,0.021676503,0.4944926,0.6452376,0.5370197,0.037166733,0.6452424,0.86002976,0.707224,0.052286845,0.8600484,1.3588293,0.99500275,0.11419489
blocks.3.hook_mlp_out,-1.1333556,-0.038745753,-0.08441937,0.060422633,-0.03874575,0.0011370815,-0.01793726,0.0113985315,0.0011370825,0.04102874,0.020224739,0.011399911,0.041028745,0.078908406,0.057913836,0.01075071,0.07890841,0.10348112,0.08993395,0.0070100045,0.10348113,0.16688073,0.12489957,0.016376752,0.16688076,0.3175249,0.22337727,0.044407792,0.31752497,0.37119567,0.33773932,0.014173542,0.3711958,0.40908563,0.38273415,0.009420831,0.409086,0.4589487,0.42387196,0.0123801,0.45896158,0.53253543,0.48056805,0.017396132,0.532591,0.9916961,0.60826963,0.094511256
blocks.4.hook_mlp_out,-1.6052879,-0.036271874,-0.08114455,0.077271216,-0.03627187,0.0019351398,-0.01640069,0.010923619,0.0019351412,0.040144175,0.02026775,0.010922929,0.04014418,0.07591106,0.056115214,0.010153873,0.07591107,0.09871413,0.086189695,0.0065117073,0.098714136,0.14959419,0.11731879,0.013630023,0.1495942,0.2501749,0.17986651,0.026058117,0.25017497,0.31756863,0.27474564,0.017681316,0.31756905,0.36600372,0.33405545,0.0125571415,0.3660058,0.40672252,0.37965602,0.010562027,0.4067541,0.4413437,0.41806528,0.008810534,0.4413512,0.51928735,0.45481622,0.012984397
blocks.5.hook_mlp_out,-1.8740256,-0.033655755,-0.07344512,0.06551788,-0.03365575,0.0014191419,-0.015413973,0.010028363,0.0014191421,0.03650532,0.018257268,0.010031644,0.036505323,0.06915112,0.051107634,0.0092705805,0.069151126,0.089808434,0.078468606,0.005898303,0.08980844,0.13629347,0.1066681,0.012393704,0.13629349,0.24610834,0.1681509,0.028618338,0.24610838,0.32172367,0.27330878,0.01964381,0.3217237,0.381125,0.3413547,0.015203638,0.38112676,0.4361078,0.39936218,0.014084288,0.43611816,0.4795741,0.45139006,0.011420815,0.47968683,0.55240595,0.4947915,0.014915992
blocks.6.hook_mlp_out,-1.8474395,-0.035964955,-0.07832854,0.07074431,-0.03596495,0.0016372278,-0.016406868,0.010750957,0.0016372288,0.039264165,0.019686338,0.010757351,0.03926417,0.07438154,0.054962326,0.009972778,0.074381545,0.09656689,0.084404044,0.006337575,0.0965669,0.14305899,0.114093885,0.012602974,0.143059,0.21486078,0.16520545,0.018038422,0.21486089,0.2881,0.23962814,0.019076396,0.2881013,0.34674013,0.30794394,0.015180252,0.34674078,0.39801317,0.3635499,0.01305084,0.39801353,0.4486705,0.41387695,0.012829859,0.4488705,0.5375136,0.470019,0.018731697
blocks.7.hook_mlp_out,-2.7444253,-0.041900158,-0.0876105,0.06959287,-0.041900154,0.00097412243,-0.0196051,0.012258549,0.00097412337,0.04390268,0.021561129,0.0122707775,0.043902684,0.084280506,0.061911702,0.01146216,0.08428051,0.110124,0.09592658,0.0073797447,0.11012401,0.16622435,0.1309906,0.015141368,0.16622436,0.26824665,0.19597092,0.02530528,0.26824677,0.40452164,0.3082202,0.03262001,0.40452296,0.5983506,0.48589128,0.07080135,0.59835064,0.6296019,0.6081368,0.0075839437,0.6296158,0.7452187,0.6610962,0.031233817,0.747172,0.9516896,0.799971,0.04177199
