SD_start,SD_end,Activation_start,Activation_end,Count
-2,-1,-0.6726,-0.3255,0
-1,0,-0.3255,0.0215,98125538
0,1,0.0215,0.3686,560828
1,2,0.3686,0.7157,288410
2,3,0.7157,1.0628,193924
3,4,1.0628,1.4099,144445
4,5,1.4099,1.7569,113915
5,6,1.7569,2.1040,92449
6,7,2.1040,2.4511,74388
7,8,2.4511,2.7982,59881
8,9,2.7982,3.1453,47372
9,10,3.1453,3.4923,38371
10,11,3.4923,3.8394,31496
11,12,3.8394,4.1865,26167
12,13,4.1865,4.5336,22966
13,14,4.5336,4.8807,20645
14,15,4.8807,5.2277,18896
15,16,5.2277,5.5748,18103
16,17,5.5748,5.9219,17231
17,18,5.9219,6.2690,17008
18,19,6.2690,6.6161,15794
19,20,6.6161,6.9632,14603
20,21,6.9632,7.3102,12774
21,22,7.3102,7.6573,10684
22,23,7.6573,8.0044,8487
23,24,8.0044,8.3515,6511
24,25,8.3515,8.6986,4937
25,26,8.6986,9.0456,3711
26,27,9.0456,9.3927,2580
27,28,9.3927,9.7398,1971
28,29,9.7398,10.0869,1452
29,30,10.0869,10.4340,1084
30,31,10.4340,10.7810,838
31,32,10.7810,11.1281,633
32,33,11.1281,11.4752,458
33,34,11.4752,11.8223,335
34,35,11.8223,12.1694,231
35,36,12.1694,12.5165,199
36,37,12.5165,12.8635,158
37,38,12.8635,13.2106,118
38,39,13.2106,13.5577,77
39,40,13.5577,13.9048,78
40,41,13.9048,14.2519,52
41,42,14.2519,14.5989,34
42,43,14.5989,14.9460,32
43,44,14.9460,15.2931,26
44,45,15.2931,15.6402,19
45,46,15.6402,15.9873,15
46,47,15.9873,16.3343,14
47,48,16.3343,16.6814,9
48,49,16.6814,17.0285,8
49,50,17.0285,17.3756,12
50,51,17.3756,17.7227,7
51,52,17.7227,18.0698,6
52,53,18.0698,18.4168,6
53,54,18.4168,18.7639,1
54,55,18.7639,19.1110,3
55,56,19.1110,19.4581,2
56,57,19.4581,19.8052,1
57,58,19.8052,20.1522,0
58,59,20.1522,20.4993,1
59,60,20.4993,20.8464,3
60,61,20.8464,21.1935,1
61,62,21.1935,21.5406,0
62,63,21.5406,21.8876,0
63,64,21.8876,22.2347,0
64,65,22.2347,22.5818,0
65,66,22.5818,22.9289,1
66,67,22.9289,23.2760,0
67,68,23.2760,23.6231,0
68,69,23.6231,23.9701,0
69,70,23.9701,24.3172,0
70,71,24.3172,24.6643,1
71,72,24.6643,25.0114,0
72,73,25.0114,25.3585,0
73,74,25.3585,25.7055,0
74,75,25.7055,26.0526,0
75,76,26.0526,26.3997,0
76,77,26.3997,26.7468,0
77,78,26.7468,27.0939,0
78,79,27.0939,27.4409,0
79,80,27.4409,27.7880,0
80,81,27.7880,28.1351,0
81,82,28.1351,28.4822,0
82,83,28.4822,28.8293,0
83,84,28.8293,29.1764,0
84,85,29.1764,29.5234,0
85,86,29.5234,29.8705,0
86,87,29.8705,30.2176,0
87,88,30.2176,30.5647,0
88,89,30.5647,30.9118,0
89,90,30.9118,31.2588,0
90,91,31.2588,31.6059,0
91,92,31.6059,31.9530,0
92,93,31.9530,32.3001,0
93,94,32.3001,32.6472,0
94,95,32.6472,32.9942,0
95,96,32.9942,33.3413,0
96,97,33.3413,33.6884,0
97,98,33.6884,34.0355,0
98,99,34.0355,34.3826,0
